idx,case,Activity,timestamp,lifecycle,ApplicationType,LoanGoal,RequestedAmount,MonthlyCost,resource,Selected,EventID,OfferID,FirstWithdrawalAmount,Action,Accepted,CreditScore,NumberOfTerms,EventOrigin,OfferedAmount,EventIDraw
1839,Application_1036621789,A_Create Application,2016-09-09T21:07:48.927+0100,COMPLETE,New credit,Car,15000.0,,User_1,,Application_1036621789,,,Created,,,,Application,,Application_1036621789
1840,Application_1036621789,A_Submitted,2016-09-09T21:07:48.962+0100,COMPLETE,New credit,Car,15000.0,,User_1,,ApplState_847105443,,,statechange,,,,Application,,ApplState_847105443
1841,Application_1036621789,W_Handle leads,2016-09-09T21:07:49.226+0100,SCHEDULE,New credit,Car,15000.0,,User_1,,Workitem_1747297264,,,Created,,,,Workflow,,Workitem_1747297264
1842,Application_1036621789,W_Handle leads,2016-09-09T21:08:39.012+0100,WITHDRAW,New credit,Car,15000.0,,User_1,,Workitem_1970750418,,,Deleted,,,,Workflow,,Workitem_1970750418
1843,Application_1036621789,W_Complete application,2016-09-09T21:08:39.020+0100,SCHEDULE,New credit,Car,15000.0,,User_1,,Workitem_1048560567,,,Created,,,,Workflow,,Workitem_1048560567
1844,Application_1036621789,A_Concept,2016-09-09T21:08:39.024+0100,COMPLETE,New credit,Car,15000.0,,User_1,,ApplState_1674034971,,,statechange,,,,Application,,ApplState_1674034971
1845,Application_1036621789,W_Complete application,2016-09-10T12:44:36.504+0100,START,New credit,Car,15000.0,,User_49,,Workitem_614823709,,,Obtained,,,,Workflow,,Workitem_614823709
1846,Application_1036621789,W_Complete application,2016-09-10T12:45:50.167+0100,SUSPEND,New credit,Car,15000.0,,User_49,,Workitem_1086586329,,,Released,,,,Workflow,,Workitem_1086586329
1847,Application_1036621789,A_Accepted,2016-09-10T16:39:42.446+0100,COMPLETE,New credit,Car,15000.0,,User_39,,ApplState_632295224,,,statechange,,,,Application,,ApplState_632295224
1848,Application_1036621789,O_Create Offer,2016-09-10T16:45:34.087+0100,COMPLETE,New credit,Car,15000.0,300.0,User_39,False,Offer_1182954134,Offer_1182954134,0.0,Created,True,0.0,78.0,Offer,20000.0,Offer_1182954134
1849,Application_1036621789,O_Created,2016-09-10T16:45:34.621+0100,COMPLETE,New credit,Car,15000.0,,User_39,,OfferState_4341348,Offer_1182954134,,statechange,,,,Offer,,OfferState_4341348
