idx,case,Activity,timestamp,lifecycle,ApplicationType,LoanGoal,RequestedAmount,MonthlyCost,resource,Selected,EventID,OfferID,FirstWithdrawalAmount,Action,Accepted,CreditScore,NumberOfTerms,EventOrigin,OfferedAmount,EventIDraw
442,Application_1036621789,A_Create Application,2016-09-09T21:07:48.927+0100,COMPLETE,New credit,Car,15000.0,,User_1,,Application_1036621789,,,Created,,,,Application,,Application_1036621789
443,Application_1036621789,A_Submitted,2016-09-09T21:07:48.962+0100,COMPLETE,New credit,Car,15000.0,,User_1,,ApplState_847105443,,,statechange,,,,Application,,ApplState_847105443
444,Application_1036621789,W_Handle leads,2016-09-09T21:07:49.226+0100,SCHEDULE,New credit,Car,15000.0,,User_1,,Workitem_1747297264,,,Created,,,,Workflow,,Workitem_1747297264
445,Application_1036621789,W_Handle leads,2016-09-09T21:08:39.012+0100,WITHDRAW,New credit,Car,15000.0,,User_1,,Workitem_1970750418,,,Deleted,,,,Workflow,,Workitem_1970750418
446,Application_1036621789,W_Complete application,2016-09-09T21:08:39.020+0100,SCHEDULE,New credit,Car,15000.0,,User_1,,Workitem_1048560567,,,Created,,,,Workflow,,Workitem_1048560567
447,Application_1036621789,A_Concept,2016-09-09T21:08:39.024+0100,COMPLETE,New credit,Car,15000.0,,User_1,,ApplState_1674034971,,,statechange,,,,Application,,ApplState_1674034971
448,Application_1036621789,W_Complete application,2016-09-10T12:44:36.504+0100,START,New credit,Car,15000.0,,User_49,,Workitem_614823709,,,Obtained,,,,Workflow,,Workitem_614823709
449,Application_1036621789,W_Complete application,2016-09-10T12:45:50.167+0100,SUSPEND,New credit,Car,15000.0,,User_49,,Workitem_1086586329,,,Released,,,,Workflow,,Workitem_1086586329
450,Application_1036621789,A_Accepted,2016-09-10T16:39:42.446+0100,COMPLETE,New credit,Car,15000.0,,User_39,,ApplState_632295224,,,statechange,,,,Application,,ApplState_632295224
451,Application_1036621789,O_Create Offer,2016-09-10T16:45:34.087+0100,COMPLETE,New credit,Car,15000.0,300.0,User_39,False,Offer_1182954134,Offer_1182954134,0.0,Created,True,0.0,78.0,Offer,20000.0,Offer_1182954134
452,Application_1036621789,O_Created,2016-09-10T16:45:34.621+0100,COMPLETE,New credit,Car,15000.0,,User_39,,OfferState_4341348,Offer_1182954134,,statechange,,,,Offer,,OfferState_4341348
453,Application_1036621789,O_Sent (mail and online),2016-09-10T16:46:05.312+0100,COMPLETE,New credit,Car,15000.0,,User_39,,OfferState_361943561,Offer_1182954134,,statechange,,,,Offer,,OfferState_361943561
454,Application_1036621789,W_Complete application,2016-09-10T16:46:05.325+0100,ATE_ABORT,New credit,Car,15000.0,,User_39,,Workitem_1904823615,,,Deleted,,,,Workflow,,Workitem_1904823615
455,Application_1036621789,W_Call after offers,2016-09-10T16:46:05.331+0100,SCHEDULE,New credit,Car,15000.0,,User_39,,Workitem_2125111726,,,Created,,,,Workflow,,Workitem_2125111726
456,Application_1036621789,W_Call after offers,2016-09-10T16:46:05.333+0100,START,New credit,Car,15000.0,,User_39,,Workitem_1944045123,,,Obtained,,,,Workflow,,Workitem_1944045123
457,Application_1036621789,A_Complete,2016-09-10T16:46:05.335+0100,COMPLETE,New credit,Car,15000.0,,User_39,,ApplState_1888740392,,,statechange,,,,Application,,ApplState_1888740392
458,Application_1036621789,W_Call after offers,2016-09-11T00:00:01.359+0100,SUSPEND,New credit,Car,15000.0,,User_1,,Workitem_1746451507,,,Released,,,,Workflow,,Workitem_1746451507
459,Application_1036621789,W_Call after offers,2016-09-11T00:00:01.363+0100,SUSPEND,New credit,Car,15000.0,,User_1,,Workitem_1523695560,,,Released,,,,Workflow,,Workitem_1523695560
460,Application_1036621789,W_Call after offers,2016-09-11T00:00:01.366+0100,SUSPEND,New credit,Car,15000.0,,User_1,,Workitem_1416874664,,,Released,,,,Workflow,,Workitem_1416874664
461,Application_1036621789,W_Call after offers,2016-09-11T00:00:01.368+0100,SUSPEND,New credit,Car,15000.0,,User_1,,Workitem_1785330213,,,Released,,,,Workflow,,Workitem_1785330213
462,Application_1036621789,W_Call after offers,2016-09-14T09:55:05.333+0100,RESUME,New credit,Car,15000.0,,User_132,,Workitem_396922810,,,Obtained,,,,Workflow,,Workitem_396922810
463,Application_1036621789,W_Call after offers,2016-09-14T09:55:27.594+0100,SUSPEND,New credit,Car,15000.0,,User_132,,Workitem_1195955542,,,Released,,,,Workflow,,Workitem_1195955542
464,Application_1036621789,O_Cancelled,2016-09-14T18:18:28.787+0100,COMPLETE,New credit,Car,15000.0,,User_63,,OfferState_2090184380,Offer_1182954134,,statechange,,,,Offer,,OfferState_2090184380
465,Application_1036621789,O_Create Offer,2016-09-14T18:19:59.599+0100,COMPLETE,New credit,Car,15000.0,253.38,User_63,True,Offer_312521947,Offer_312521947,20000.0,Created,True,797.0,93.0,Offer,20000.0,Offer_312521947
466,Application_1036621789,O_Created,2016-09-14T18:20:00.225+0100,COMPLETE,New credit,Car,15000.0,,User_63,,OfferState_1579179340,Offer_312521947,,statechange,,,,Offer,,OfferState_1579179340
467,Application_1036621789,O_Sent (mail and online),2016-09-14T18:20:08.855+0100,COMPLETE,New credit,Car,15000.0,,User_63,,OfferState_1802608036,Offer_312521947,,statechange,,,,Offer,,OfferState_1802608036
468,Application_1036621789,W_Call after offers,2016-09-23T14:35:35.880+0100,ATE_ABORT,New credit,Car,15000.0,,User_27,,Workitem_191928028,,,Deleted,,,,Workflow,,Workitem_191928028
469,Application_1036621789,W_Validate application,2016-09-23T14:35:35.885+0100,SCHEDULE,New credit,Car,15000.0,,User_27,,Workitem_482701169,,,Created,,,,Workflow,,Workitem_482701169
470,Application_1036621789,W_Validate application,2016-09-23T14:35:35.886+0100,START,New credit,Car,15000.0,,User_27,,Workitem_47730743,,,Obtained,,,,Workflow,,Workitem_47730743
471,Application_1036621789,A_Validating,2016-09-23T14:35:36.637+0100,COMPLETE,New credit,Car,15000.0,,User_27,,ApplState_1767743284,,,statechange,,,,Application,,ApplState_1767743284
472,Application_1036621789,O_Returned,2016-09-23T14:36:08.921+0100,COMPLETE,New credit,Car,15000.0,,User_27,,OfferState_211856892,Offer_312521947,,statechange,,,,Offer,,OfferState_211856892
