idx,case,Activity,timestamp,lifecycle,ApplicationType,LoanGoal,RequestedAmount,MonthlyCost,resource,Selected,EventID,OfferID,FirstWithdrawalAmount,Action,Accepted,CreditScore,NumberOfTerms,EventOrigin,OfferedAmount,EventIDraw
2579,Application_1006164631,A_Create Application,2016-07-14T12:34:03.477+0100,COMPLETE,New credit,Car,5000.0,,User_1,,Application_1006164631,,,Created,,,,Application,,Application_1006164631
2580,Application_1006164631,A_Submitted,2016-07-14T12:34:03.520+0100,COMPLETE,New credit,Car,5000.0,,User_1,,ApplState_78134833,,,statechange,,,,Application,,ApplState_78134833
2581,Application_1006164631,W_Handle leads,2016-07-14T12:34:03.731+0100,SCHEDULE,New credit,Car,5000.0,,User_1,,Workitem_242715846,,,Created,,,,Workflow,,Workitem_242715846
2582,Application_1006164631,W_Handle leads,2016-07-14T12:35:21.529+0100,WITHDRAW,New credit,Car,5000.0,,User_1,,Workitem_1188972982,,,Deleted,,,,Workflow,,Workitem_1188972982
2583,Application_1006164631,W_Complete application,2016-07-14T12:35:21.537+0100,SCHEDULE,New credit,Car,5000.0,,User_1,,Workitem_401268488,,,Created,,,,Workflow,,Workitem_401268488
2584,Application_1006164631,A_Concept,2016-07-14T12:35:21.541+0100,COMPLETE,New credit,Car,5000.0,,User_1,,ApplState_568536413,,,statechange,,,,Application,,ApplState_568536413
2585,Application_1006164631,W_Complete application,2016-07-15T14:52:49.917+0100,START,New credit,Car,5000.0,,User_43,,Workitem_1419167329,,,Obtained,,,,Workflow,,Workitem_1419167329
2586,Application_1006164631,W_Complete application,2016-07-15T14:54:20.045+0100,SUSPEND,New credit,Car,5000.0,,User_43,,Workitem_1283350942,,,Released,,,,Workflow,,Workitem_1283350942
2587,Application_1006164631,W_Complete application,2016-07-15T14:56:37.041+0100,RESUME,New credit,Car,5000.0,,User_3,,Workitem_2067391513,,,Obtained,,,,Workflow,,Workitem_2067391513
2588,Application_1006164631,W_Complete application,2016-07-15T14:56:42.394+0100,SUSPEND,New credit,Car,5000.0,,User_3,,Workitem_1650447773,,,Released,,,,Workflow,,Workitem_1650447773
2589,Application_1006164631,W_Complete application,2016-07-16T15:06:57.966+0100,RESUME,New credit,Car,5000.0,,User_17,,Workitem_1931875637,,,Obtained,,,,Workflow,,Workitem_1931875637
